"Manage Questions","Manage Questions"
"Add Question","Add Question"
"Product Questions","Product Questions"
"Manage Notification List","Manage Notification List"
"Subscribe to","Subscribe to"
"New Question","New Question"
"Manage Question #%1 from %2 &lt;%3&gt;","Manage Question #%1 from %2 &lt;%3&gt;"
"Reject","Reject"
"Publish","Publish"
"By Product","By Product"
"Settings","Settings"
"Readme","Readme"
"Get Support","Get Support"
"Question","Question"
"General","General"
"Sharing Options","Sharing Options"
"Author","Author"
"Asked From","Asked From"
"Status","Status"
"Product","Product"
"Visibility","Visibility"
"Created At","Created At"
"Asked at","Asked at"
"Question Rating","Question Rating"
"Answers","Answers"
"Display at","Display at"
"Display for","Display for"
"Select Product(s)","Select Product(s)"
"Selected Products (please, specify)","Selected Products (please, specify)"
"All answers will be displayed after moderation.","All answers will be displayed after moderation."
"Dear %1!","Dear %1!"
"Could you please answer the question?","Could you please answer the question?"
"Not yet","Not yet"
"Yes (1 answer)","Yes (1 answer)"
"Yes (%1 answers)","Yes (%1 answers)"
"Only registered customers can rate.","Only registered customers can rate."
"You must be <a href='%1'>logged in</a> to answer questions.","You must be <a href='%1'>logged in</a> to answer questions."
"Only customers who bought the product can answer questions.","Only customers who bought the product can answer questions."
"Author name not specified.","Author name not specified."
"Author email not specified.","Author email not specified."
"Answer not specified.","Answer not specified."
"Question not found.","Question not found."
"Question not specified.","Question not specified."
"Product not found.","Product not found."
"Invalid status value.","Invalid status value."
"Answer status has been changed successfully.","Answer status has been changed successfully."
"Answer has been deleted successfully.","Answer has been deleted successfully."
"Answer saved successfully.","Answer saved successfully."
"Marketing","Marketing"
"Question %1 status has been changed successfully.","Question %1 status has been changed successfully."
"Question "%1" has been deleted successfully.","Question "%1" has been deleted successfully."
"Please choose the product.","Please choose the product."
"New Question","New Question"
"Manage Question","Manage Question"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been made private.","A total of %1 record(s) have been made private."
"A total of %1 record(s) have been made public.","A total of %1 record(s) have been made public."
"A total of %1 record(s) have been published.","A total of %1 record(s) have been published."
"A total of %1 record(s) have been rejected.","A total of %1 record(s) have been rejected."
"Question %1 saved successfully.","Question %1 saved successfully."
"Your answer has been received. You will be notified on the answer status change. You can track all your questions and answers <a href='%1'>here</a>.","Your answer has been received. You will be notified on the answer status change. You can track all your questions and answers <a href='%1'>here</a>."
"Your answer has been received. You will be notified on answer status change.","Your answer has been received. You will be notified on answer status change."
"Your answer has been received. You can track all your questions and answers <a href='%1'>here</a>.","Your answer has been received. You can track all your questions and answers <a href='%1'>here</a>."
"Your answer has been received.","Your answer has been received."
"Answer added successfully. You can track all your questions and answers <a href='%1'>here</a>.","Answer added successfully. You can track all your questions and answers <a href='%1'>here</a>."
"Answer added successfully","Answer added successfully"
"Product Questions disabled","Product Questions disabled"
"Subscription settings have been successfully saved.","Subscription settings have been successfully saved."
"Your question has been received. You can track all your questions and answers <a href='%1'>here</a>.","Your question has been received. You can track all your questions and answers <a href='%1'>here</a>."
"Your question has been received.","Your question has been received."
"Your question has been received. A notification will be sent once the answer is published. You can see all your questions and answers <a href='%1'>here</a>","Your question has been received. A notification will be sent once the answer is published. You can see all your questions and answers <a href='%1'>here</a>"
"Your question has been received. A notification will be sent once the answer is published.","Your question has been received. A notification will be sent once the answer is published."
"Pending Questions","Pending Questions"
"Private Questions","Private Questions"
"New Answers","New Answers"
"No Questions","No Questions"
"[DELETED]","[DELETED]"
"Administrator","Administrator"
"Nobody (admin only)","Nobody (admin only)"
"Only Registered Customers Who Purchased The Products","Only Registered Customers Who Purchased The Products"
"Any Registered Customer","Any Registered Customer"
"Anyone","Anyone"
"Registered Customers","Registered Customers"
"Admin","Admin"
"Customer","Customer"
"Guest","Guest"
"Do not send","Do not send"
"Question update notifications","Question update notifications"
"Answer update notifications","Answer update notifications"
"Date","Date"
"Rating","Rating"
"Pending","Pending"
"Published","Published"
"Rejected","Rejected"
"Private","Private"
"Public","Public"
"Certain Product","Certain Product"
"All Products","All Products"
"Selected Products","Selected Products"
"Ascending","Ascending"
"Descending","Descending"
"All Products","All Products"
"Custom Selection","Custom Selection"
"All Store Views","All Store Views"
"View Product","View Product"
"Edit Product","Edit Product"
"Publish","Publish"
"Delete","Delete"
"Reject","Reject"
"Add Answer","Add Answer"
"Name","Name"
"Email Address","Email Address"
"Answer Content","Answer Content"
"Send Answer","Send Answer"
"You will be rewarded with %1 point(s) for your answer.","You will be rewarded with %1 point(s) for your answer."
"Question:","Question:"
"Answer","Answer"
"Ask Question","Ask Question"
"You must be <a href='%1'>logged in</a> to ask questions.","You must be <a href='%1'>logged in</a> to ask questions."
"(Admin)","(Admin)"
"Question by: %1 on %2","Question by: %1 on %2"
"Answer by: %1 on %2","Answer by: %1 on %2"
"No answers yet. Be the first to answer the question!","No answers yet. Be the first to answer the question!"
"Next Answers","Next Answers"
"Next Questions","Next Questions"
"No questions yet. Be the first to ask the question!","No questions yet. Be the first to ask the question!"
"Hide Question Form","Hide Question Form"
"Hide Answer Form","Hide Answer Form"
"Subscribe to:","Subscribe to:"
"Save","Save"
"Your Answers","Your Answers"
"There are no answers yet.","There are no answers yet."
"Your Questions","Your Questions"
"Is Answered?","Is Answered?"
"There are no questions yet.","There are no questions yet."
"Notifications","Notifications"
"Email Preview","Email Preview"
"Send Question","Send Question"
"Sort by","Sort by"
"General Settings","General Settings"
"Who Can Ask Questions from Product Page","Who Can Ask Questions from Product Page"
"Who Can Answer Questions from Product Page","Who Can Answer Questions from Product Page"
"Approve Answers Automatically","Approve Answers Automatically"
"Guests can rate","Guests can rate"
"Subscribe customers to Product Questions emails automatically","Subscribe customers to Product Questions emails automatically"
"Customer-defined question visibility (Private or Public)","Customer-defined question visibility (Private or Public)"
"Interface Settings","Interface Settings"
"Number of questions to display","Number of questions to display"
"Number of answers to display","Number of answers to display"
"Display URLs as links","Display URLs as links"
"Default questions sort by","Default questions sort by"
"Default sort order","Default sort order"
"Notification Settings","Notification Settings"
"Send admin notifications to this email address","Send admin notifications to this email address"
"Email Sender","Email Sender"
"Admin notifications about new question","Admin notifications about new question"
"Admin notifications about new answers","Admin notifications about new answers"
"Customer notifications about new replies to their questions","Customer notifications about new replies to their questions"
"Customer notifications about the questions status change","Customer notifications about the questions status change"
"Customer notifications about the answer status change","Customer notifications about the answer status change"
"Auto-Responder to customer about his new question","Auto-Responder to customer about his new question"
"Auto-Responder to customer about his new answer","Auto-Responder to customer about his new answer"
"Remove the web copies of the emails older than X days","Remove the web copies of the emails older than X days"
"Leave 0 to disable this option","Leave 0 to disable this option"
"Add New Question","Add New Question"
"SKU","SKU"
"Total Questions","Total Questions"
"from","from"
"From","From"
"to","to"
"To","To"
"Shared Questions","Shared Questions"
"Product Only Questions","Product Only Questions"
"20","20"
"30","30"
"40","40"
"100","100"
"200","200"
"Actions","Actions"
"Select...","Select..."
"Total Answers","Total Answers"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Make Public","Make Public"
"Make Private","Make Private"
"Product Questions by Aheadworks","Product Questions by Aheadworks"
"Private Question","Private Question"
"Select","Select"
"Select Items","Select Items"